,nome_candidato,uf,partido,estrelas_legisla_int,tempo_mandato,em_exercicio,tipo,gasto_gabinete,producao_legislativa,fiscalizacao,mobilizaca,alinhamento_partidario
307,Lauriete,ES,PSC,3,3,Sim,TITULAR,204944.24,4.2,1.1,2.4,8.2
308,Leandre,PR,PSD,4,3,Sim,TITULAR,231988.39,4.7,3.8,3.9,0.9
309,Leda Sadala,AP,PP,2,3,Sim,TITULAR,170574.78,2.2,1.8,2.4,7.3
310,Leo de Brito,AC,PT,3,3,Sim,TITULAR,204219.35,3.1,3.8,3.9,10.0
311,Léo Moraes,RO,PODE,4,3,Sim,TITULAR,147389.18,7.3,2.2,6.4,0.9
312,Léo Motta,MG,REPUBLICANOS,2,3,Sim,TITULAR,197023.61,1.9,0.2,2.1,0.9
313,Leonardo Gadelha,PB,PSC,2,1,Não,SUPLENTE,148492.73,1.4,0.0,1.2,10.0
314,Leonardo Monteiro,MG,PT,4,3,Sim,TITULAR,210576.94,3.6,3.8,7.9,8.2
315,Leonardo Picciani,RJ,MDB,1,0,Não,SUPLENTE,95227.08,0.8,0.7,0.9,8.2
316,Leônidas Cristino,CE,PDT,3,3,Sim,TITULAR,185012.06,2.2,2.0,2.7,8.2
317,Leur Lomanto Júnior,BA,UNIÃO,2,3,Sim,TITULAR,197930.11,2.2,0.0,2.7,6.4
318,Lídice da Mata,BA,PSB,4,3,Sim,TITULAR,182429.77,5.5,2.4,7.0,6.4
319,Lincoln Portela,MG,PL,4,3,Sim,TITULAR,166784.00,5.2,1.5,4.2,6.4
320,Liziane Bayer,RS,REPUBLICANOS,2,3,Sim,TITULAR,258644.59,3.2,1.3,2.4,0.9
321,Loester Trutis,MS,PL,3,3,Sim,TITULAR,235999.44,3.9,1.1,4.5,5.5
322,Lourival Gomes,RJ,PP,2,3,Sim,TITULAR,221363.84,2.2,1.6,1.2,6.4
323,Lucas Gonzalez,MG,NOVO,4,3,Sim,TITULAR,87416.33,6.0,3.1,4.8,10.0
324,Lucas Redecker,RS,PSDB,3,3,Sim,TITULAR,148967.08,4.5,2.2,4.8,0.9
325,Lucas Vergilio,GO,SOLIDARIEDADE,3,3,Sim,TITULAR,138506.68,3.9,1.6,3.3,5.5
326,Luciano Bivar,PE,UNIÃO,2,3,Sim,TITULAR,124967.30,1.5,1.3,0.6,8.2
327,Luciano Ducci,PR,PSB,3,3,Sim,TITULAR,232925.91,3.6,1.6,3.9,0.9
328,Lucio Mosquini,RO,MDB,3,3,Sim,TITULAR,215717.91,3.4,2.4,3.0,5.5
329,Luis Miranda,DF,REPUBLICANOS,5,3,Sim,TITULAR,136556.52,8.2,3.6,6.1,5.5
330,Luis Tibé,MG,AVANTE,2,3,Sim,TITULAR,155562.71,2.3,0.0,2.4,9.1
331,Luisa Canziani,PR,PSD,3,3,Sim,TITULAR,196675.17,3.5,2.9,3.9,6.4
332,Luiz Antônio Corrêa,RJ,PP,2,3,Sim,TITULAR,210038.33,2.0,0.2,1.8,8.2
333,Luiz Carlos,AP,PSDB,2,3,Sim,TITULAR,138722.59,1.5,1.3,1.8,8.2
334,Luiz Carlos Motta,SP,PL,3,3,Sim,TITULAR,136218.74,3.0,0.9,3.3,7.3
